y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
35;48;1971;613200;132224;613800;131824;2.51651842;48.89030527;2.52468724;48.88669506
35;49;1972;613800;132224;614400;131824;2.52470082;48.89029214;2.53286904;48.88668134
35;51;1972;615000;132224;615600;131824;2.54106559;48.89026412;2.54923261;48.88665215
36;9;1949;589800;131824;590400;131424;2.19741389;48.88676331;2.20560524;48.88317594
36;25;1903 1967-HD;599400;131824;600000;131424;2.32832329;48.88684850;2.33650519;48.88325175
36;26;1903 1981 1981-HD;600000;131824;600600;131424;2.33650514;48.88684884;2.34468644;48.88325151
36;27;1903 1968-HD;600600;131824;601200;131424;2.34468698;48.88684860;2.35286770;48.88325068
36;28;1906 1967 1967-HD;601200;131824;601800;131424;2.35286883;48.88684778;2.36104895;48.88324927
36;29;1980 2003;601800;131824;602400;131424;2.36105068;48.88684636;2.36923021;48.88324727
36;31;1929 1966 1966-HD;603000;131824;603600;131424;2.37741437;48.88684178;2.38559271;48.88324152
36;32;1967 1967-HD;603600;131824;604200;131424;2.38559621;48.88683861;2.39377396;48.88323776
36;33;1986 1986-HD;604200;131824;604800;131424;2.39377806;48.88683485;2.40195521;48.88323342
36;35;1961;605400;131824;606000;131424;2.41014174;48.88682558;2.41831771;48.88322298
36;36;1963 2003;606000;131824;606600;131424;2.41832358;48.88682006;2.42649895;48.88321688
36;37;1964;606600;131824;607200;131424;2.42650542;48.88681396;2.43468020;48.88321019
36;38;1963 1991-v1 1991-v2;607200;131824;607800;131424;2.43468725;48.88680728;2.44286144;48.88320292
36;39;1991;607800;131824;608400;131424;2.44286909;48.88680000;2.45104268;48.88319506
36;40;1986;608400;131824;609000;131424;2.45105092;48.88679215;2.45922391;48.88318662
36;41;1986;609000;131824;609600;131424;2.45923274;48.88678370;2.46740514;48.88317759
36;50;1976;614400;131824;615000;131424;2.53286904;48.88668134;2.54103608;48.88306996
36;51;1974;615000;131824;615600;131424;2.54105083;48.88666704;2.54921727;48.88305507
36;52;1974;615600;131824;616200;131424;2.54923261;48.88665215;2.55739846;48.88303960
36;53;1973;616200;131824;616800;131424;2.55741440;48.88663667;2.56557964;48.88302354
37;26;1857 1903 1968-HD;600000;131424;600600;131024;2.33650519;48.88325175;2.34468590;48.87965442
37;27;1978 1990 1990-HD;600600;131424;601200;131024;2.34468644;48.88325151;2.35286657;48.87965359
37;28;1978 1978-HD;601200;131424;601800;131024;2.35286770;48.88325068;2.36104723;48.87965218
37;29;1980 2003-v2 2003-HD;601800;131424;602400;131024;2.36104895;48.88324927;2.36922789;48.87965018
37;30;1857 1928 1967-v2 1967-HD;602400;131424;603000;131024;2.36923021;48.88324727;2.37740855;48.87964760
37;31;1922 1993-HD;603000;131424;603600;131024;2.37741146;48.88324469;2.38558921;48.87964443
37;32;1913 1992-HD;603600;131424;604200;131024;2.38559271;48.88324152;2.39376987;48.87964067
37;33;1914 1986-HD;604200;131424;604800;131024;2.39377396;48.88323776;2.40195053;48.87963633
37;35;1963;605400;131424;606000;131024;2.41013646;48.88322849;2.41831184;48.87962589
37;40;1986;608400;131424;609000;131024;2.45104268;48.88319506;2.45921508;48.87958953
37;46;1962;612000;131424;612600;131024;2.50013004;48.88313561;2.50829887;48.87952657
37;47;1961;612600;131424;613200;131024;2.50831126;48.88312365;2.51647949;48.87951403
